7.6 	6.8 	0.2 	0.1 
7.63 	8.41 	2.8 	0.34 
7.07 	7.81 	5.8 	0.55 
7.58 	6.47 	2.9 	0.34 
7.34 	6.19 	1.7 	0.13 
7.52 	6.54 	3.2 	0.22 
7.78 	6.9 	3.1 	0.11 
7.66 	4.2 	5.8 	0.53 
8.01 	7.63 	2.4 	0.25 
7.63 	4.02 	3.6 	1.06 
8.63 	10.2 	1.8 	0.1 
7.42 	6.45 	4.3 	0.99 
7.73 	6.26 	1.4 	0.21 
8 	6.43 	2.4 	0.17 
6.64 	5.18 	1.1 	0.92 
7.28 	6.87 	2.7 	0.15 
7.29 	6.9 	1.6 	0.15 
8.3 	8.1 	5.6 	0.1 
7.47 	8.54 	1.6 	0.25 
7.73 	7.89 	5.2 	0.22 
7.78 	7.57 	3.9 	0.31 
7.06 	6.25 	2.3 	0.18 
7.63 	6.73 	3 	0.28 
7.41 	6.37 	2.5 	0.1 
7.61 	4.63 	4.5 	0.92 
8.09 	8.08 	8 	0.37 
7.9 	4.7 	6.4 	0.37 
8.17 	9.81 	1.9 	0.09 
7.64 	6.93 	2.6 	0.4 
7.86 	6.49 	3.3 	0.26 
8 	5.38 	3.7 	0.14 
6.71 	4.85 	1 	1.01 
7.68 	6.08 	2.6 	0.19 
7.31 	4.49 	1.6 	0.32 
8.24 	8.1 	0.5 	0.15 
7.73 	8.55 	1.8 	0.2 
7.8 	6.65 	2.8 	0.31 
7.89 	7.92 	2.6 	0.32 
8.57 	6.88 	3 	0.08 
7.61 	7.07 	2 	0.32 
7.59 	6.47 	2 	0.12 
7.57 	5.49 	4.7 	1.93 
7.77 	8.67 	4 	0.34 
7.19 	7.16 	2.4 	0.39 
7.72 	9.03 	2.5 	0.07 
6.29 	4.34 	2.9 	0.92 
7.25 	8.32 	3.7 	0.37 
7.91 	5.87 	3.6 	0.25 
6.78 	5.35 	1.7 	2.18 
6.7 	6.67 	3.5 	0.16 
7.09 	6.02 	3.8 	0.19 
8.34 	8.8 	1.1 	0.11 
7.63 	8.58 	1.5 	0.24 
7.55 	10.6 	3.6 	0.36 
7.93 	8.36 	3.1 	0.3 
7.6 	7.43 	2.3 	0.14 
