2564	25.8	4225	42.6	2452	24.7	387	3.9	297	3.0	0	0
1533	15.3	2030	20.2	4998	49.8	974	9.7	191	1.9	311	3.1
1225	12.2	2582	24.9	4356.5	43.6	1328.9	13.3	259.8	2.6	339.7	3.4
1256	11.5	2645	24.1	5786	52.8	905	8.3	186	1.7	180	1.6
1571	5.2	12133	39.8	10738	35.2	2888	9.5	1897	6.2	1239	4.1
1705	5.6	9944 	32.8	10792	35.6	5037 	16.6	1320 	4.4	1608 	5.3
2013	5.9	11289	33.1	11855	34.7	4784	14	1876	5.5	2329	6.8
1572	4.4	15574	44	10022	28.3	3544	10.0	1136	3.2	3538	10.0
1824	4.7	15964	41.5	12048	31.3	2458	6.4	2246	5.8	3973	10.3
473	1.2	10602	26.9	15725	39.9	5833	14.8	2325	5.9	4454	11.3
